pr_lines_changed,reviewer_load,file_count,is_critical_path,review_turnaround_hours
1343,9,29,1,25.04
1742,11,31,1,41.49
99,1,13,1,7.23
1665,15,24,1,38.87
1238,3,15,1,15.49
1501,8,24,0,31.99
884,9,34,0,31.69
833,12,26,0,30.04
1689,5,26,0,33.83
338,15,7,1,23.76
862,4,15,1,5.54
130,15,47,1,31.27
110,4,42,0,23.9
1891,14,49,0,48.0
495,3,42,0,26.68
708,6,31,0,28.8
1563,7,16,1,18.89
570,1,50,0,22.04
1193,9,38,0,31.3
1159,2,21,0,19.31
1391,14,12,0,27.82
901,15,1,1,22.11
1937,7,17,1,24.83
843,5,34,0,25.39
1135,2,24,0,22.39
